,1x,1y,5x,5y,12x,12y,13x,13y,14x,14y
0,472,182.2307692,448,182.2307692,592,396.1538462,432,396.1538462,488,578.3846154
1,472,198.0769231,456,206,600,404.0769231,448,412,496,594.2307692
2,480,190.1538462,464,198.0769231,600,396.1538462,448,412,512,586.3076923
3,400,190.1538462,384,190.1538462,544,396.1538462,376,404.0769231,432,578.3846154
4,480,206,480,206,616,396.1538462,504,404.0769231,536,586.3076923
5,480,190.1538462,456,190.1538462,600,404.0769231,424,396.1538462,488,578.3846154
6,520,206,504,206,672,404.0769231,496,412,560,578.3846154
7,360,190.1538462,360,190.1538462,496,388.2307692,344,404.0769231,400,570.4615385
8,472,182.2307692,456,182.2307692,600,396.1538462,432,396.1538462,488,570.4615385
9,472,182.2307692,448,182.2307692,592,396.1538462,432,396.1538462,488,578.3846154
10,456,95.07692308,440,95.07692308,608,293.1538462,432,309,488,491.2307692
11,456,95.07692308,440,95.07692308,616,293.1538462,432,309,496,499.1538462
12,456,95.07692308,440,95.07692308,608,293.1538462,432,309,496,499.1538462
13,456,95.07692308,440,103,608,293.1538462,432,309,496,491.2307692
14,456,95.07692308,440,103,608,293.1538462,432,309,488,491.2307692
15,456,95.07692308,440,103,608,301.0769231,432,309,488,491.2307692
16,456,95.07692308,440,95.07692308,616,293.1538462,440,309,488,491.2307692
17,456,95.07692308,440,95.07692308,608,293.1538462,440,316.9230769,488,491.2307692
18,456,95.07692308,440,95.07692308,608,301.0769231,440,316.9230769,488,491.2307692
19,456,95.07692308,432,103,616,293.1538462,440,309,488,491.2307692
20,472,198.0769231,456,206,592,404.0769231,440,404.0769231,496,594.2307692
21,472,198.0769231,456,206,600,404.0769231,448,412,496,586.3076923
22,472,198.0769231,456,206,600,404.0769231,448,412,496,594.2307692
23,472,198.0769231,456,198.0769231,592,404.0769231,448,412,496,594.2307692
24,472,198.0769231,456,198.0769231,592,404.0769231,448,412,496,594.2307692
25,472,198.0769231,456,198.0769231,592,396.1538462,440,404.0769231,496,594.2307692
26,472,198.0769231,456,198.0769231,600,404.0769231,440,412,496,594.2307692
27,472,198.0769231,448,198.0769231,600,404.0769231,448,412,496,594.2307692
28,472,198.0769231,448,198.0769231,600,404.0769231,440,404.0769231,496,594.2307692
29,472,198.0769231,448,198.0769231,600,404.0769231,448,412,496,594.2307692
30,480,198.0769231,464,198.0769231,600,396.1538462,448,412,512,594.2307692
31,400,190.1538462,384,190.1538462,544,404.0769231,376,404.0769231,432,586.3076923
32,400,190.1538462,376,198.0769231,544,396.1538462,376,404.0769231,432,586.3076923
33,400,190.1538462,376,198.0769231,544,396.1538462,376,404.0769231,432,586.3076923
34,400,190.1538462,376,198.0769231,544,396.1538462,376,404.0769231,432,578.3846154
35,400,190.1538462,368,198.0769231,544,396.1538462,376,404.0769231,432,586.3076923
36,400,190.1538462,368,198.0769231,544,388.2307692,376,404.0769231,432,586.3076923
37,400,190.1538462,384,190.1538462,544,396.1538462,376,404.0769231,432,578.3846154
38,400,190.1538462,376,198.0769231,544,396.1538462,376,404.0769231,432,586.3076923
39,400,190.1538462,376,198.0769231,544,388.2307692,376,404.0769231,432,578.3846154
40,400,190.1538462,384,190.1538462,544,388.2307692,376,404.0769231,432,586.3076923
41,480,206,480,206,616,396.1538462,504,404.0769231,536,586.3076923
42,472,182.2307692,448,190.1538462,600,396.1538462,432,396.1538462,480,578.3846154
43,472,182.2307692,456,182.2307692,600,396.1538462,432,396.1538462,488,570.4615385
44,472,182.2307692,464,182.2307692,592,388.2307692,432,396.1538462,488,578.3846154
45,472,182.2307692,448,182.2307692,600,396.1538462,432,396.1538462,488,578.3846154
46,472,182.2307692,448,182.2307692,600,404.0769231,432,396.1538462,488,570.4615385
47,472,182.2307692,448,182.2307692,592,396.1538462,432,396.1538462,488,578.3846154
48,456,95.07692308,440,95.07692308,608,293.1538462,432,309,488,491.2307692
49,456,95.07692308,440,95.07692308,616,293.1538462,432,309,496,499.1538462
50,456,95.07692308,440,95.07692308,608,293.1538462,432,309,496,499.1538462
51,456,95.07692308,440,103,608,293.1538462,432,309,496,491.2307692
52,472,182.2307692,456,182.2307692,600,396.1538462,432,396.1538462,480,570.4615385
53,456,95.07692308,440,103,608,301.0769231,432,309,488,491.2307692
54,456,95.07692308,440,103,608,293.1538462,432,309,488,491.2307692
55,456,95.07692308,440,95.07692308,608,301.0769231,440,316.9230769,488,491.2307692
56,456,95.07692308,440,95.07692308,608,293.1538462,440,316.9230769,488,491.2307692
57,456,95.07692308,440,95.07692308,616,293.1538462,440,309,488,491.2307692
58,456,95.07692308,432,103,616,293.1538462,440,309,488,491.2307692
59,480,182.2307692,456,190.1538462,608,404.0769231,432,404.0769231,488,578.3846154
60,480,190.1538462,456,190.1538462,608,404.0769231,424,396.1538462,488,578.3846154
61,480,190.1538462,456,190.1538462,608,396.1538462,432,404.0769231,488,578.3846154
62,480,190.1538462,456,190.1538462,608,404.0769231,432,404.0769231,480,578.3846154
63,480,190.1538462,456,190.1538462,600,404.0769231,424,396.1538462,480,578.3846154
64,480,190.1538462,456,190.1538462,608,404.0769231,424,396.1538462,488,578.3846154
65,480,190.1538462,456,190.1538462,600,404.0769231,424,396.1538462,488,570.4615385
66,480,190.1538462,456,190.1538462,600,404.0769231,424,396.1538462,488,578.3846154
67,480,190.1538462,456,190.1538462,608,404.0769231,432,404.0769231,488,578.3846154
68,480,190.1538462,456,190.1538462,600,404.0769231,432,404.0769231,488,578.3846154
69,520,206,504,206,672,404.0769231,496,412,560,578.3846154
70,360,182.2307692,344,190.1538462,496,388.2307692,352,404.0769231,400,570.4615385
71,352,190.1538462,352,190.1538462,496,388.2307692,344,404.0769231,400,570.4615385
72,360,190.1538462,360,190.1538462,496,388.2307692,344,404.0769231,400,570.4615385
73,360,190.1538462,352,190.1538462,496,388.2307692,344,404.0769231,400,570.4615385
74,360,190.1538462,360,190.1538462,488,388.2307692,344,404.0769231,400,570.4615385
75,360,190.1538462,360,182.2307692,488,388.2307692,344,404.0769231,400,570.4615385
76,360,190.1538462,360,190.1538462,488,388.2307692,344,404.0769231,400,570.4615385
77,360,190.1538462,360,190.1538462,496,388.2307692,344,404.0769231,400,570.4615385
78,360,190.1538462,360,190.1538462,496,388.2307692,344,404.0769231,400,570.4615385
79,360,190.1538462,352,190.1538462,488,388.2307692,344,404.0769231,400,570.4615385
80,472,182.2307692,464,182.2307692,600,396.1538462,432,396.1538462,488,570.4615385
81,472,182.2307692,448,190.1538462,584,380.3076923,432,396.1538462,488,570.4615385
82,472,182.2307692,456,182.2307692,600,388.2307692,432,396.1538462,480,570.4615385
83,552,182.2307692,536,182.2307692,568,364.4615385,528,419.9230769,576,602.1538462
84,552,198.0769231,536,198.0769231,552,372.3846154,520,419.9230769,576,602.1538462
85,552,198.0769231,536,198.0769231,680,427.8461538,520,419.9230769,576,602.1538462
86,552,206,536,206,680,427.8461538,520,419.9230769,576,602.1538462
87,552,206,544,206,680,427.8461538,520,419.9230769,584,602.1538462
88,520,190.1538462,496,190.1538462,656,412,480,412,536,594.2307692
89,520,190.1538462,480,198.0769231,656,412,480,412,536,594.2307692
90,520,190.1538462,496,190.1538462,664,412,480,412,536,594.2307692
91,512,190.1538462,472,198.0769231,656,412,480,412,536,594.2307692
92,520,190.1538462,496,190.1538462,664,412,480,412,536,594.2307692
93,512,190.1538462,472,198.0769231,664,412,480,412,536,594.2307692
94,512,190.1538462,480,190.1538462,664,412,480,412,536,594.2307692
95,512,182.2307692,480,190.1538462,664,412,480,412,536,594.2307692
96,512,182.2307692,480,190.1538462,656,404.0769231,480,412,536,594.2307692
97,512,182.2307692,472,190.1538462,672,404.0769231,488,412,536,594.2307692
98,488,213.9230769,472,221.8461538,656,404.0769231,488,404.0769231,536,578.3846154
99,488,213.9230769,472,213.9230769,656,396.1538462,488,404.0769231,536,578.3846154
100,488,206,472,206,648,388.2307692,488,404.0769231,536,578.3846154
